Symbol,Security,GICS Sector,GICS Sub-Industry,Headquaters Location,Date first added,Founded
EVRG,Evergy,Utilities,Electric Utilities,"Kansas City, Missouri",6/5/2018,1909
ES,Eversource Energy,Utilities,Multi-Utilities,"Springfield, Massachusetts",,1966
RE,Everest Re Group Ltd.,Financials,Reinsurance,"Hamilton, Bermuda",########,1973
EXC,Exelon Corp.,Utilities,Multi-Utilities,"Chicago, Illinois",3/4/1957,2000
EXPE,Expedia Group,Consumer Discretionary,Internet & Direct Marketing Retail,"Seattle, Washington",########,1996
EXPD,Expeditors,Industrials,Air Freight & Logistics,"Seattle, Washington",########,1979
EXR,Extra Space Storage,Real Estate,Specialized REITs,"Salt Lake City, Utah",########,1977
XOM,Exxon Mobil Corp.,Energy,Integrated Oil & Gas,"Irving, Texas",3/4/1957,1999
FFIV,F5 Networks,Information Technology,Communications Equipment,"Seattle, Washington",########,1996
FB,"Facebook, Inc.",Communication Services,Interactive Media & Services,"Menlo Park, California",########,2004
FAST,Fastenal Co,Industrials,Building Products,"Winona, Minnesota",########,1967
FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,"Rockville, Maryland",2/1/2016,1962
FDX,FedEx Corporation,Industrials,Air Freight & Logistics,"Memphis, Tennessee",########,1971
FIS,Fidelity National Information Services,Information Technology,Data Processing & Outsourced Services,"Jacksonville, Florida",########,1968
FITB,Fifth Third Bancorp,Financials,Regional Banks,"Cincinnati, Ohio",,1858
FE,FirstEnergy Corp,Utilities,Electric Utilities,"Akron, Ohio",,1997
FRC,First Republic Bank,Financials,Regional Banks,"San Francisco, California",1/2/2019,1985
FISV,Fiserv Inc,Information Technology,Data Processing & Outsourced Services,"Brookfield, Wisconsin",4/2/2001,1984
FLT,FleetCor Technologies Inc,Information Technology,Data Processing & Outsourced Services,"Norcross, Georgia",########,2000
FLIR,FLIR Systems,Information Technology,Electronic Equipment & Instruments,"Wilsonville, Oregon",1/2/2009,1978
FLS,Flowserve Corporation,Industrials,Industrial Machinery,"Irving, Texas",########,1997
FMC,FMC Corporation,Materials,Fertilizers & Agricultural Chemicals,"Philadelphia, Pennsylvania",########,1883
F,Ford Motor Company,Consumer Discretionary,Automobile Manufacturers,"Dearborn, Michigan",3/4/1957,1903
FTNT,Fortinet,Information Technology,Systems Software,"Sunnyvale, California",########,2000
FTV,Fortive Corp,Industrials,Industrial Machinery,"Everett, Washington",7/1/2016,2016
FBHS,Fortune Brands Home & Security,Industrials,Building Products,"Deerfield, Illinois",########,2011 (1969)
FOXA,Fox Corporation (Class A),Communication Services,Movies & Entertainment,"New York, New York",7/1/2013,2019
FOX,Fox Corporation (Class B),Communication Services,Movies & Entertainment,"New York, New York",########,2019
BEN,Franklin Resources,Financials,Asset Management & Custody Banks,"San Mateo, California",,1947
FCX,Freeport-McMoRan Inc.,Materials,Copper,"Phoenix, Arizona",,1912
GPS,Gap Inc.,Consumer Discretionary,Apparel Retail,"San Francisco, California",########,1969
GRMN,Garmin Ltd.,Consumer Discretionary,Consumer Electronics,"Schaffhausen, Switzerland",########,1989
IT,Gartner Inc,Information Technology,IT Consulting & Other Services,"Stamford, Connecticut",4/5/2017,1979
GD,General Dynamics,Industrials,Aerospace & Defense,"Falls Church, Virginia",3/4/1957,1899
GE,General Electric,Industrials,Industrial Conglomerates,"Boston, Massachusetts",,1892
GIS,General Mills,Consumer Staples,Packaged Foods & Meats,"Golden Valley, Minnesota",########,1856
GM,General Motors,Consumer Discretionary,Automobile Manufacturers,"Detroit, Michigan",6/6/2013,1908
GPC,Genuine Parts,Consumer Discretionary,Specialty Stores,"Atlanta, Georgia",########,1925
GILD,Gilead Sciences,Health Care,Biotechnology,"Foster City, California",7/1/2004,1987
GL,Globe Life Inc.,Financials,Life & Health Insurance,"McKinney, Texas",########,1900
GPN,Global Payments Inc.,Information Technology,Data Processing & Outsourced Services,"Atlanta, Georgia",########,2000
GS,Goldman Sachs Group,Financials,Investment Banking & Brokerage,"New York, New York",########,1869
GWW,Grainger (W.W.) Inc.,Industrials,Industrial Machinery,"Lake Forest, Illinois",########,1927
HAL,Halliburton Co.,Energy,Oil & Gas Equipment & Services,"Houston, Texas",3/4/1957,1919
HBI,Hanesbrands Inc,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Winston-Salem, North Carolina",########,2000
HIG,Hartford Financial Svc.Gp.,Financials,Property & Casualty Insurance,"Hartford, Connecticut",3/4/1957,1810
HAS,Hasbro Inc.,Consumer Discretionary,Leisure Products,"Pawtucket, Rhode Island",########,1923
HCA,HCA Healthcare,Health Care,Health Care Facilities,"Nashville, Tennessee",########,1968
PEAK,Healthpeak Properties,Real Estate,Health Care REITs,"Long Beach, California",########,1985
HSIC,Henry Schein,Health Care,Health Care Distributors,"Melville, New York",########,1932
HSY,The Hershey Company,Consumer Staples,Packaged Foods & Meats,"Hershey, Pennsylvania",3/4/1957,1894
HES,Hess Corporation,Energy,Integrated Oil & Gas,"New York, New York",########,1919
HPE,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals","Palo Alto, California",########,2015
HLT,Hilton Worldwide Holdings Inc,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Tysons Corner, Virginia",########,1919
HFC,HollyFrontier Corp,Energy,Oil & Gas Refining & Marketing,"Dallas, Texas",########,1947
HOLX,Hologic,Health Care,Health Care Equipment,"Marlborough, Massachusetts",########,1985
HD,Home Depot,Consumer Discretionary,Home Improvement Retail,"Atlanta, Georgia",########,1978
HON,Honeywell Int'l Inc.,Industrials,Industrial Conglomerates,"Morristown, New Jersey",########,1906
HRL,Hormel Foods Corp.,Consumer Staples,Packaged Foods & Meats,"Austin, Minnesota",3/4/2009,1891
HST,Host Hotels & Resorts,Real Estate,Hotel & Resort REITs,"Bethesda, Maryland",########,1993
HWM,Howmet Aerospace,Industrials,Aerospace & Defense,"Pittsburgh, Pennsylvania",########,2016
HPQ,HP Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Palo Alto, California",########,1939 (2015)
HUM,Humana Inc.,Health Care,Managed Health Care,"Louisville, Kentucky",,1961
HBAN,Huntington Bancshares,Financials,Regional Banks,"Columbus, Ohio",,1866
HII,Huntington Ingalls Industries,Industrials,Aerospace & Defense,"Newport News, Virginia",1/3/2018,2011
IEX,IDEX Corporation,Industrials,Industrial Machinery,"Lake Forest, Illinois",8/9/2019,1988
IDXX,IDEXX Laboratories,Health Care,Health Care Equipment,"Westbrook, Maine",1/5/2017,1983
INFO,IHS Markit Ltd.,Industrials,Research & Consulting Services,"London, United Kingdom",6/2/2017,1959
ITW,Illinois Tool Works,Industrials,Industrial Machinery,"Glenview, Illinois",########,1912
ILMN,Illumina Inc,Health Care,Life Sciences Tools & Services,"San Diego, California",########,1998
INCY,Incyte,Health Care,Biotechnology,"Wilmington, Delaware",########,1991
IR,Ingersoll Rand,Industrials,Industrial Machinery,"Milwaukee, Wisconsin",3/3/2020,1859
INTC,Intel Corp.,Information Technology,Semiconductors,"Santa Clara, California",########,1968
ICE,Intercontinental Exchange,Financials,Financial Exchanges & Data,"Atlanta, Georgia",########,2000
IBM,International Business Machines,Information Technology,IT Consulting & Other Services,"Armonk, New York",3/4/1957,1911
IP,International Paper,Materials,Paper Packaging,"Memphis, Tennessee",3/4/1957,1898
IPG,Interpublic Group,Communication Services,Advertising,"New York, New York",########,1961 (1930)
IFF,International Flavors & Fragrances,Materials,Specialty Chemicals,"New York, New York",########,1958 (1889)
INTU,Intuit Inc.,Information Technology,Application Software,"Mountain View, California",########,1983
ISRG,Intuitive Surgical Inc.,Health Care,Health Care Equipment,"Sunnyvale, California",6/2/2008,1995
IVZ,Invesco Ltd.,Financials,Asset Management & Custody Banks,"Atlanta, Georgia",########,1935
IPGP,IPG Photonics Corp.,Information Technology,Electronic Manufacturing Services,"Oxford, Massachusetts",3/7/2018,1990
IQV,IQVIA Holdings Inc.,Health Care,Life Sciences Tools & Services,"Durham, North Carolina",########,1982
IRM,Iron Mountain Incorporated,Real Estate,Specialized REITs,"Boston, Massachusetts",1/6/2009,1951
JKHY,Jack Henry & Associates,Information Technology,Data Processing & Outsourced Services,"Monett, Missouri",########,1976
J,Jacobs Engineering Group,Industrials,Construction & Engineering,"Dallas, Texas",########,1947
JBHT,J. B. Hunt Transport Services,Industrials,Trucking,"Lowell, Arkansas",7/1/2015,1961
SJM,JM Smucker,Consumer Staples,Packaged Foods & Meats,"Orrville, Ohio",########,1897
JNJ,Johnson & Johnson,Health Care,Pharmaceuticals,"New Brunswick, New Jersey",########,1886
JCI,Johnson Controls International,Industrials,Building Products,"Cork, Ireland",########,1885
JPM,JPMorgan Chase & Co.,Financials,Diversified Banks,"New York, New York",########,2000 (1799 / 1871)
JNPR,Juniper Networks,Information Technology,Communications Equipment,"Sunnyvale, California",6/2/2006,1996
KSU,Kansas City Southern,Industrials,Railroads,"Kansas City, Missouri",########,1887
K,Kellogg Co.,Consumer Staples,Packaged Foods & Meats,"Battle Creek, Michigan",,1906
KEY,KeyCorp,Financials,Regional Banks,"Cleveland, Ohio",3/1/1994,1825
KEYS,Keysight Technologies,Information Technology,Electronic Equipment & Instruments,"Santa Rosa, California",########,2014
KMB,Kimberly-Clark,Consumer Staples,Household Products,"Irving, Texas",3/4/1957,1872
KIM,Kimco Realty,Real Estate,Retail REITs,"New Hyde Park, New York",4/4/2006,1958
KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,"Houston, Texas",########,1997
KLAC,KLA Corporation,Information Technology,Semiconductor Equipment,"Milpitas, California",,1975/1977 (1997)
KHC,Kraft Heinz Co,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois; Pittsburgh, Pennsylvania",7/6/2015,2015 (1869)
KR,Kroger Co.,Consumer Staples,Food Retail,"Cincinnati, Ohio",3/4/1957,1883
LB,L Brands Inc.,Consumer Discretionary,Apparel Retail,"Columbus, Ohio",########,1963
LHX,L3Harris Technologies,Industrials,Aerospace & Defense,"Melbourne, Florida",,2019 (1895)
LH,Laboratory Corp. of America Holding,Health Care,Health Care Services,"Burlington, North Carolina",########,1978
LRCX,Lam Research,Information Technology,Semiconductor Equipment,"Fremont, California",########,1980
LW,Lamb Weston Holdings Inc,Consumer Staples,Packaged Foods & Meats,"Eagle, Idaho",########,2016 (1950)
LVS,Las Vegas Sands,Consumer Discretionary,Casinos & Gaming,"Las Vegas, Nevada",########,1988
LEG,Leggett & Platt,Consumer Discretionary,Home Furnishings,"Carthage, Missouri",,1883
LDOS,Leidos Holdings,Information Technology,IT Consulting & Other Services,"Reston, Virginia",8/9/2019,1969
LEN,Lennar Corp.,Consumer Discretionary,Homebuilding,"Miami, Florida",########,1954
LLY,Lilly (Eli) & Co.,Health Care,Pharmaceuticals,"Indianapolis, Indiana",########,1876
LNC,Lincoln National,Financials,Multi-line Insurance,"Radnor, Pennsylvania",########,1905
LIN,Linde plc,Materials,Industrial Gases,"Guildford, Surrey, United Kingdom",7/1/1992,1879
LYV,Live Nation Entertainment,Communication Services,Movies & Entertainment,"Beverly Hills, California",########,2010
LKQ,LKQ Corporation,Consumer Discretionary,Distributors,"Chicago, Illinois",########,1998
LMT,Lockheed Martin Corp.,Industrials,Aerospace & Defense,"Bethesda, Maryland",########,1995
L,Loews Corp.,Financials,Multi-line Insurance,"New York, New York",,1959
LOW,Lowe's Cos.,Consumer Discretionary,Home Improvement Retail,"Mooresville, North Carolina",########,1904/1946/1959
LUMN,Lumen Technologies,Communication Services,Alternative Carriers,"Monroe, Louisiana",########,1983 (1877)
LYB,LyondellBasell,Materials,Specialty Chemicals,"Rotterdam, Netherlands",9/5/2012,2007
MTB,M&T Bank Corp.,Financials,Regional Banks,"Buffalo, New York",########,1856
MRO,Marathon Oil Corp.,Energy,Oil & Gas Exploration & Production,"Houston, Texas",5/1/1991,1887
MPC,Marathon Petroleum,Energy,Oil & Gas Refining & Marketing,"Findlay, Ohio",7/1/2011,2009 (1887)
MKTX,MarketAxess,Financials,Financial Exchanges & Data,"New York, New York",7/1/2019,2000
MAR,Marriott Int'l.,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Bethesda, Maryland",,1927
MMC,Marsh & McLennan,Financials,Insurance Brokers,"New York, New York",########,1905
MLM,Martin Marietta Materials,Materials,Construction Materials,"Raleigh, North Carolina",7/2/2014,1993
MAS,Masco Corp.,Industrials,Building Products,"Livonia, Michigan",########,1929
MA,Mastercard Inc.,Information Technology,Data Processing & Outsourced Services,"Harrison, New York",########,1966
MKC,McCormick & Co.,Consumer Staples,Packaged Foods & Meats,"Hunt Valley, Maryland",,1889
MXIM,Maxim Integrated Products Inc,Information Technology,Semiconductors,"San Jose, California",########,1983
MCD,McDonald's Corp.,Consumer Discretionary,Restaurants,"Chicago, Illinois",########,1940
MCK,McKesson Corp.,Health Care,Health Care Distributors,"Irving, Texas",,1833
MDT,Medtronic plc,Health Care,Health Care Equipment,"Dublin, Ireland",########,1949
MRK,Merck & Co.,Health Care,Pharmaceuticals,"Kenilworth, New Jersey",3/4/1957,1891
MET,MetLife Inc.,Financials,Life & Health Insurance,"New York, New York",,1868
MTD,Mettler Toledo,Health Care,Life Sciences Tools & Services,"Columbus, Ohio",9/6/2016,1945
MGM,MGM Resorts International,Consumer Discretionary,Casinos & Gaming,"Paradise, Nevada",########,1986
MCHP,Microchip Technology,Information Technology,Semiconductors,"Chandler, Arizona",9/7/2007,1989
MU,Micron Technology,Information Technology,Semiconductors,"Boise, Idaho",########,1978
MSFT,Microsoft Corp.,Information Technology,Systems Software,"Redmond, Washington",6/1/1994,1975
MAA,Mid-America Apartments,Real Estate,Residential REITs,"Memphis, Tennessee",########,1977
MHK,Mohawk Industries,Consumer Discretionary,Home Furnishings,"Calhoun, Georgia",########,1878
TAP,Molson Coors Beverage Company,Consumer Staples,Brewers,"Denver, Colorado",########,"2005 (Molson 1786, Coors 1873)"
MDLZ,Mondelez International,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois",########,2012
MNST,Monster Beverage,Consumer Staples,Soft Drinks,"Corona, California",########,2012 (1935)
MCO,Moody's Corp,Financials,Financial Exchanges & Data,"New York, New York",,1909
MS,Morgan Stanley,Financials,Investment Banking & Brokerage,"New York, New York",,1935
MOS,The Mosaic Company,Materials,Fertilizers & Agricultural Chemicals,"Tampa, Florida",########,2004 (1865 / 1909)
MSI,Motorola Solutions Inc.,Information Technology,Communications Equipment,"Chicago, Illinois",,1928 (2011)
MSCI,MSCI Inc,Financials,Financial Exchanges & Data,"New York, New York",4/4/2018,1969
NDAQ,"Nasdaq, Inc.",Financials,Financial Exchanges & Data,"New York, New York",########,1971
NOV,National Oilwell Varco Inc.,Energy,Oil & Gas Equipment & Services,"Houston, Texas",########,1841
NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals","Sunnyvale, California",########,1992
NFLX,Netflix Inc.,Communication Services,Movies & Entertainment,"Los Gatos, California",########,1997
NWL,Newell Brands,Consumer Discretionary,Housewares & Specialties,"Atlanta, Georgia",########,1903
NEM,Newmont Corporation,Materials,Gold,"Denver, Colorado",########,1921
NWSA,News Corp. Class A,Communication Services,Publishing,"New York, New York",8/1/2013,2013 (1980)
NWS,News Corp. Class B,Communication Services,Publishing,"New York, New York",########,2013 (1980)
NEE,NextEra Energy,Utilities,Multi-Utilities,"Juno Beach, Florida",########,1984 (1925)
NLSN,Nielsen Holdings,Industrials,Research & Consulting Services,"New York, New York",7/9/2013,1923
NKE,"Nike, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Washington County, Oregon",########,1964
NI,NiSource Inc.,Utilities,Multi-Utilities,"Merrillville, Indiana",,1912
NSC,Norfolk Southern Corp.,Industrials,Railroads,"Norfolk, Virginia",3/4/1957,1881/1894 (1980)
NTRS,Northern Trust Corp.,Financials,Asset Management & Custody Banks,"Chicago, Illinois",,1889
NOC,Northrop Grumman,Industrials,Aerospace & Defense,"West Falls Church, Virginia",########,"1994 (Northrop 1939, Grumman 1930)"
NLOK,NortonLifeLock,Information Technology,Application Software,"Tempe, Arizona",########,1982
NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",########,2011 (1966)
NRG,NRG Energy,Utilities,Independent Power Producers & Energy Traders,"Princeton, New Jersey",########,1992
NUE,Nucor Corp.,Materials,Steel,"Charlotte, North Carolina",########,1940
NVDA,Nvidia Corporation,Information Technology,Semiconductors,"Santa Clara, California",########,1993
NVR,"NVR, Inc.",Consumer Discretionary,Homebuilding,"Reston, Virginia",########,1980
ORLY,O'Reilly Automotive,Consumer Discretionary,Specialty Stores,"Springfield, Missouri",########,1957
OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,"Houston, Texas",########,1920
ODFL,Old Dominion Freight Line,Industrials,Trucking,"Thomasville, North Carolina",########,1934
OMC,Omnicom Group,Communication Services,Advertising,"New York, New York",,1986
OKE,ONEOK,Energy,Oil & Gas Storage & Transportation,"Tulsa, Oklahoma",########,1906
ORCL,Oracle Corp.,Information Technology,Application Software,"Redwood Shores, California",########,1977
OTIS,Otis Worldwide,Industrials,Industrial Machinery,"Farmington, Connecticut",4/3/2020,2020 (1853)
PCAR,PACCAR Inc.,Industrials,Construction Machinery & Heavy Trucks,"Bellevue, Washington",########,1905
PKG,Packaging Corporation of America,Materials,Paper Packaging,"Lake Forest, Illinois",########,1959
PH,Parker-Hannifin,Industrials,Industrial Machinery,"Cleveland, Ohio",########,1917
PAYX,Paychex Inc.,Information Technology,Data Processing & Outsourced Services,"Penfield, New York",,1971
PAYC,Paycom,Information Technology,Application Software,"Oklahoma City, Oklahoma",########,1998
PYPL,PayPal,Information Technology,Data Processing & Outsourced Services,"San Jose, California",########,1998
PNR,Pentair plc,Industrials,Industrial Machinery,"Worsley, UK",########,1966
PBCT,People's United Financial,Financials,Thrifts & Mortgage Finance,"Bridgeport, Connecticut",########,1842
PEP,PepsiCo Inc.,Consumer Staples,Soft Drinks,"Purchase, New York",3/4/1957,1898
PKI,PerkinElmer,Health Care,Health Care Equipment,"Waltham, Massachusetts",########,1937
PRGO,Perrigo,Health Care,Pharmaceuticals,"Dublin, Ireland",########,2013 (1887)
PFE,Pfizer Inc.,Health Care,Pharmaceuticals,"New York, New York",3/4/1957,1849
PM,Philip Morris International,Consumer Staples,Tobacco,"New York, New York",########,2008 (1847)
PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,"Houston, Texas",5/1/2012,2012 (1917)
PNW,Pinnacle West Capital,Utilities,Multi-Utilities,"Phoenix, Arizona",,1985
PXD,Pioneer Natural Resources,Energy,Oil & Gas Exploration & Production,"Irving, Texas",########,1997
PNC,PNC Financial Services,Financials,Regional Banks,"Pittsburgh, Pennsylvania",########,1845
POOL,Pool Corporation,Consumer Discretionary,Distributors,"Covington, Louisiana",########,1993
PPG,PPG Industries,Materials,Specialty Chemicals,"Pittsburgh, Pennsylvania",3/4/1957,1883
PPL,PPL Corp.,Utilities,Electric Utilities,"Allentown, Pennsylvania",,1920
PFG,Principal Financial Group,Financials,Life & Health Insurance,"Des Moines, Iowa",########,1879
PG,Procter & Gamble,Consumer Staples,Personal Products,"Cincinnati, Ohio",3/4/1957,1837
PGR,Progressive Corp.,Financials,Property & Casualty Insurance,"Mayfield Village, Ohio",8/4/1997,1937
PLD,Prologis,Real Estate,Industrial REITs,"San Francisco, California",########,1983
PRU,Prudential Financial,Financials,Life & Health Insurance,"Newark, New Jersey",########,1875
PEG,Public Service Enterprise Group (PSEG),Utilities,Electric Utilities,"Newark, New Jersey",3/4/1957,1903
PSA,Public Storage,Real Estate,Specialized REITs,"Glendale, California",########,1972
PHM,PulteGroup,Consumer Discretionary,Homebuilding,"Atlanta, Georgia",########,1956
PVH,PVH Corp.,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",########,1881
QRVO,Qorvo,Information Technology,Semiconductors,"Greensboro, North Carolina",########,2015
PWR,Quanta Services Inc.,Industrials,Construction & Engineering,"Houston, Texas",7/1/2009,1997
QCOM,QUALCOMM Inc.,Information Technology,Semiconductors,"San Diego, California",,1985
DGX,Quest Diagnostics,Health Care,Health Care Services,"Secaucus, New Jersey",########,1967
RL,Ralph Lauren Corporation,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",2/2/2007,1967
RJF,Raymond James Financial Inc.,Financials,Investment Banking & Brokerage,"St. Petersburg, Florida",########,1962
